FLOWNO:string,FLOWTYPE:string,START:string,END:string,LEVEL:int
289,Feature,Automation,Supplier,"1,00"
290,Feature,Gearbox,Supplier,"1,00"
291,Feature,"Software, Analytics",Supplier,"1,00"
292,Feature,Sensors,Supplier,"1,00"
293,Feature,Hydraulics,Supplier,"1,00"
294,Feature,Pneumatics,Supplier,"1,00"
295,Feature,"Telecommunication, Data Transmission",Supplier,"1,00"
296,Feature,Robotics,Supplier,"1,00"
297,Feature,Motion Technology,Supplier,"1,00"
298,Feature,Cyber Security,Information Technology,"1,00"
299,Feature,"Flurförderfahrzeug, Ameise",Manufacturing,"1,00"
300,Feature,"Flurförderfahrzeug, Ameise",Assembly,"1,00"
301,Feature,"Flurförderfahrzeug, Ameise",Logistics,"1,00"
302,Feature,"Flurförderfahrzeug, Ameise",Distribution,"1,00"
303,Feature,"Meeting, Stand-up",Communication,"1,00"
304,Feature,"Meeting, Informal",Communication,"1,00"
305,Feature,"Meeting, Cross-Functional",Communication,"1,00"
306,Feature,Strategy Room,Communication,"1,00"
307,Feature,Emergency Room,Communication,"1,00"
308,Feature,Utility Management,Operations,"1,00"
309,Feature,Recruiting,Human Resources,"1,00"
310,Feature,"Training, Continued Education",Human Resources,"1,00"
311,Debt,Customer,Sales,"1,00"
312,Feature,Office,Human Resources,"1,00"
313,Feature,Office,Research & Development,"1,00"
314,Feature,Office,Project Management,"1,00"
315,Feature,Office,Manufacturing,"1,00"
316,Feature,Office,Assembly,"1,00"
317,Feature,Office,Aftermarket Service,"1,00"
318,Feature,Office,Procurement,"1,00"
319,Feature,Office,Distribution,"1,00"
320,Feature,Office,Logistics,"1,00"
320,Feature,Office,Sales,"1,00"
